"filename", "language", "Markdown", "YAML", "pip requirements", "Shell Script", "TypeScript", "Python", "TypeScript JSX", "Docker", "Properties", "JSON with Comments", "JSON", "Ignore", "PostCSS", "Ini", "HTML", "comment", "blank", "total"
"/Users/federico/Documents/Personal-DEV/core/backend/storage/base.py", "Python", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 81
"/Users/federico/Documents/Personal-DEV/core/backend/storage/object_store.py", "Python", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 25, 157
"/Users/federico/Documents/Personal-DEV/core/deploy/README.md", "Markdown", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 87
"/Users/federico/Documents/Personal-DEV/core/deploy/minio-init.sh", "Shell Script", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 58
"/Users/federico/Documents/Personal-DEV/core/deploy/requirements.txt", "pip requirements", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"/Users/federico/Documents/Personal-DEV/core/docker-compose.yml", "YAML", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 150
"/Users/federico/Documents/Personal-DEV/core/docs/frontend-refactor-plan.md", "Markdown", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 218
"/Users/federico/Documents/Personal-DEV/core/frontend/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/federico/Documents/Personal-DEV/core/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"/Users/federico/Documents/Personal-DEV/core/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/federico/Documents/Personal-DEV/core/frontend/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 4, 28
"/Users/federico/Documents/Personal-DEV/core/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1891, 0, 0, 0, 0, 0, 1, 1892
"/Users/federico/Documents/Personal-DEV/core/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"/Users/federico/Documents/Personal-DEV/core/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 132
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/auth/LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/auth/RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/layout/ActionBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 34
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/layout/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/layout/MainContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 41
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/layout/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 38
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/layout/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 44
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/race/Leaderboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 54
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/race/MapView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 78
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/race/SpeedChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 63
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/race/Timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/race/raceModel.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 92
"/Users/federico/Documents/Personal-DEV/core/frontend/src/components/ui/Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
